"Timestamp","Hvor enkelt var det å navigere på nettsiden?","Skriv kun inn kjønn og alder","Din teknologiske erfaringsnivå?","Hvilket verkøy brukte du for å navigere på nettsiden?","Hvor tilfredsstillende var den visuelle utformingen av nettsiden for deg?","Hvor fornøyd er du med nettsidens responsivitet og lastetid?","Hvordan var den generelle opplevelsen av nettsidens layout og organisering av innholdet?","Hvordan vurderer du valg av bilder, fontvalg og tekststørrelser?","Hvor enig er du i at designet forbedret brukeropplevelsen på nettsiden?","Fungerte alle interaktive elementer og funksjoner som forventet?","Hva likte du mest med nettsiden?","Hva likte du minst med nettsiden?","La du merke til chatbotten i høyre hjørne?","Still chatbotten et eller flere spørsmål. Hvilke spørsmål stilte du?
Nb: Chatbotten fungerer ikke på eduroam-nettet. Hopp over dette spørsmålet dersom du bruker eduroam. ","Hvor fornøyd er du med svarene fra chatbotten?","Har du noen forslag til forbedringer på nettsiden eller andre kommentarer?"
"2024/04/18 7:35:05 am EET","5","Kvinne, 26","Gjennomsnittelig","Mobil","6","6","6","5","6","Nei","Rent og moderne design. Tydelige overskrifter gjorde det lett å navigere. ","Elementer jeg trodde var interaktive førte ingen steder. F.eks boksene med tjenester, bildene/navnene under ""Møt oss"", og logoene til samarbeidspartnerne. Noen av logoene hadde ikke navn, så umulig å finne dem utenom. ","Ja","""Kan dere rapportere i henhold til EU-taksonomien?""","1","Under ""Møt oss"" er det bare bilder av grunnleggerne av selskapet, ingen telefon eller e-post, og ingen lenke til kontaktinfo. Er først når man går via menyen at man får opp side med resten av de ansatte. Syns de andre kunne blitt inkludert på forsiden, eller gjort det tydeligere at det er flere enn to personer i selskapet. "
"2024/04/18 8:18:51 am EET","4","Mann 25","Høyt","Mobil","5","5","5","6","5","Nei","","","Ja","","5",""
"2024/04/18 8:33:18 am EET","5","26, kvinne","Gjennomsnittelig","Pc","5","5","5","5","5","Ja","","","Ja","""hvordan kan man kontakte dere?""","6","på chatbotten så er tekststørrelsen på tidspunktet større enn tekststørrekseb på svarene chatbotten gir."
"2024/04/18 9:45:44 am EET","5","Kvinne - 28","Høyt","Mobil","4","5","5","4","5","Nei","Simplisitet. Fint å se bilder av teamet.","Kan tekstes litt mer profesjonelt. Kan benytte en annen tekstfont. Noen farger her og der kan også benyttes for å fange oppmerksomhet","Nei","","","Kontaktskjema kan tekstes litt bedre. Eks. Vi gjør jobben vår vanskeligere, slik at det er lettere for deg.  Kanskje tekste på en måte som viser til at dere ikke gjør jobben vanskeligere, heller at vi tar over en vanskelig del av driften slik at kunden kan fokusere på deres regnskapsuavhengige mål. Dere bruker også «..» mye i samme skjerm. Fremstår som litt uprofesjonelt. Fra mobil klarte jeg heller ikke å åpne skjemaene dere har lagt ved under nyttig informasjon. I samme skjerm har dere overskrift lik «frister» og enda en underoverskrift som viser til «viktige frister..». "
"2024/04/18 11:20:54 am EET","5","Mann 15","Høyt","Pc","5","6","4","4","4","Ja","Lastetiden, beste jeg har sett.","Ting er for snappy, animasjoner","Nei","Når har dere åpent?","4","Animasjoner"
"2024/04/18 7:04:44 pm EET","5","Mann - 21år","Gjennomsnittelig","Pc","6","4","5","6","6","Ja","Lett og oversiktlig","Tok litt tid med å laste opp til ny side","Ja","","4",""
"2024/04/18 11:11:12 pm EET","5","Kvinne 25","Lavt","Mobil","6","5","5","5","5","Ja","Oversiktelige ","","Nei","","",""
"2024/04/19 1:01:36 am EET","5","Mann 22","Høyt","Mobil","5","6","5","5","5","Ja","Enkelt design","Helt nederst, der det var kontaktinfo, var noen av ikonene plasser litt skjevt. ","Nei","","","Er det meninga at det skal komme grå bakgrunn rundt teksten når man trykker den på telefon. Lurer på om den animasjonen er ment for når man hoverer musa over teksten på pc??"
"2024/04/19 12:43:40 pm EET","6","Mann, 27","Høyt","Pc","4","4","5","3","4","Ja","Den så profesjonell ut, passer relativt sømløst inn blandt øvrige regnskaps-nettsider på nettet","Design og fontvalg spesifikt på setningen ""Dine ambisjoner, vår ekspertise - Hvordan kan vi støtte deg?"" passet ikke så godt med den grå bakgrunnen","Nei","Hva heter hovedstaden i Norge?, Når er fristen for neste regnskap?, Når er skatteoppgjøret?","4","Litt treg lasting av bildene på ""om oss"" siden, trodde siden var blank en liten periode"
"2024/04/19 11:18:31 pm EET","5","Mann 22","Gjennomsnittelig","Pc","5","6","5","4","5","Ja","innlasting, mulighet til oversetting, fint design, heftig chatbot!!","Alt var bra egentlig, nettsiden virker klar! Kanskje forbedre nyttig informasjons siden litt, gjøre den litt kulere? Men selve informasjonen er bra og nyttig! ","Nei","Hva tilbyr dere egentlig, er det dyrt, hvem kontakter jeg","4","Fin nettside! Usikker om meningen er at man skal hoppe til midten av nettsiden når man trykker på mer info knappen under ""skattemelding"" kortet på hovedsiden. Kanskje sette opp alle de 4 kortene i rekke av 2 og 2 og ikke 3 på en linje også 1 kort under, følte det var litt tomt siden skattemelding sto alene."
"2024/04/25 8:48:02 pm EET","4","Mann 26","Lavt","Mobil","4","5","5","4","5","Nei","Layout","","Ja","","4",""
"2024/04/28 8:58:43 pm EEST","6","Mann 25","Gjennomsnittelig","Mobil","6","6","6","6","6","Ja","Oversiktlig","Ingenting","Ja","","",""
